slug,brand,product_name,category,upc,usda_fdc_id,serving_size,servings_per_package,calories,protein_g,total_fat_g,saturated_fat_g,total_carbs_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,score,grade,protein_density_score,ingredient_quality_score,sugar_load_score,sodium_load_score,fiber_score,saturated_fat_score,last_verified,report_url
old-trapper-fashioned-beef-jerky-4-oz-113-2-g,Old Trapper,"Old Fashioned Beef Jerky, Old Fashioned",Other Snacks,079694221053,2401661,1 oz,,70,11,0,0,6,0,5,,600,67,C+,100,69,61,0,30,100,2026-06-03,https://labelgrade.com/old-trapper-fashioned-beef-jerky-4-oz-113-2-g
pace-chunky-salsa-medium-15-oz-425-g,Pace,"Pace, Chunky Salsa, Medium",Dips & Salsa,013949795579,1926808,2 Tbsp,,9.9,0,0,,3,0.99,2,,230,67,C+,50,72,92,27,53,100,2026-06-05,https://labelgrade.com/pace-chunky-salsa-medium-15-oz-425-g
tostitos-chunky-salsa-medium-46-50-ounce-glass-jar,Tostitos,Tostitos Chunky Salsa Medium 46.50 Ounce Glass Jar,Sauces/Spreads/Dips/Condiments,00028400043052,1460235,None,,9.9,0,0,0,2,0.99,2,,250,67,C+,50,72,93,27,51,100,2026-06-05,https://labelgrade.com/tostitos-chunky-salsa-medium-46-50-ounce-glass-jar
bushs-best-baked-beans-original-398-ml,Bush's Best,Original Baked Beans,Canned & Bottled Beans,039400036111,2243970,0.5 cup,,140,6,1,0,29,5,12,,550,66,C+,57,72,52,52,58,100,2026-06-05,https://labelgrade.com/bushs-best-baked-beans-original-398-ml
campbells-condensed-soup-tomato,Campbell's,Condensed Tomato Soup,Soups & Broths,051000210326,1625336,0.5 cup,,90,2,1.5,0.504,17,0.96,10,,410,66,C+,53,71,60,64,36,98,2026-06-05,https://labelgrade.com/campbells-condensed-soup-tomato
del-monte-foods-inc-sliced-peaches-in-heavy-syrup,Del Monte Foods Inc.,"Del Monte, Sliced Peaches In Heavy Syrup",Canned Fruit,024000010623,488755,0.5 cup,,99.8,0,0,0,25,1.02,21,,5.12,66,C+,50,78,16,100,36,100,2026-06-05,https://labelgrade.com/del-monte-foods-inc-sliced-peaches-in-heavy-syrup
herdez-salsa-7-oz-198-g,Herdez,"Herdez, Salsa",Dips & Salsa,072878275576,2010874,2 Tbsp,,4.96,0,0,0,1,0,1,,250,66,C+,50,77,96,25,30,100,2026-06-05,https://labelgrade.com/herdez-salsa-7-oz-198-g
hillshire-farm-classics-honey-roasted-turkey-breast-16-oz-1-lbs-453-g,Hillshire Farm,Farm Classics Honey Roasted Turkey Breast,"Pepperoni, Salami & Cold Cuts",044500981988,2087767,4 SLICES,,60,7,1.5,0.5,3,0,2,,490,66,C+,71,65,91,16,30,95,2026-06-05,https://labelgrade.com/hillshire-farm-classics-honey-roasted-turkey-breast-16-oz-1-lbs-453-g
la-banderita-sabrosisimas-tortillas-caseras-14-5-oz-410-g,La Banderita,Sabrosisimas Flour Tortillas,Tortillas & Wraps,027331011444,2020028,1 TORTILLA,,130,3,4,1,21,0.984,1,,280,66,C+,61,69,95,31,47,84,2026-06-05,https://labelgrade.com/la-banderita-sabrosisimas-tortillas-caseras-14-5-oz-410-g
lays-classic-potato-chips,Lay's,Classic Potato Chips,"Chips, Pretzels & Snacks",028400421584,1633665,1 oz,,160,2,10,1.5,15,1.01,1,,170,66,C+,61,77,96,35,55,68,2026-06-05,https://labelgrade.com/lays-classic-potato-chips
